ph,humidity,tempC,mq135,mq7,turbidity,fish_species
6.87,51.5,29.8,195,112,192,Pangasius
8.22,62.8,31.5,172,125,193,Pangasius
8.14,59,29.1,199,92,277,Grass Carp
7.58,64.4,27.8,198,115,197,Grass Carp
7.92,60.1,27,169,123,234,Catfish
7.13,52.6,31,199,119,266,Pangasius
7.44,57.1,31.8,179,107,262,Snakehead
8.14,59.7,28.1,164,106,209,Rohu
7.42,50.4,27.7,151,110,273,Pangasius
7.22,50.2,29.6,179,113,194,Rohu
7.49,51.9,30.7,174,93,235,Rohu
8.16,53.8,28.7,153,114,258,Tilapia
7.17,56.4,29.8,150,113,224,Silver Carp
6.85,57.3,30.3,157,116,254,Catfish
7.92,52.1,31.8,163,120,295,Snakehead
8.15,60.1,27,160,124,204,Catfish
6.7,58.9,32,173,109,206,Bighead Carp
6.98,54.4,28.4,173,105,265,Catfish
6.78,50.2,30.3,181,120,235,Catfish
7.2,51.2,29.4,174,96,289,Pangasius
7.4,55.9,28.9,195,107,250,Snakehead
8,52.3,30.2,177,97,232,Tilapia
7.8,55.7,28.4,165,116,268,Mrigal
7.74,59.4,26.8,191,103,267,Tilapia
7.2,58.2,28.9,188,107,280,Bighead Carp
8.18,53.5,29.1,165,90,211,Grass Carp
7.44,55.2,27.2,185,120,198,Rohu
8.46,59.2,31.6,161,109,236,Common Carp
7.77,62.9,27.4,161,95,274,Mrigal
6.75,61.3,28.5,183,90,192,Silver Carp
7.85,58.3,26.9,187,108,241,Rohu
7.15,55.4,29.2,169,128,220,Grass Carp
7.87,55.5,27.8,196,116,202,Snakehead
6.64,63.2,28.9,164,105,191,Pangasius
6.85,50.6,27.3,171,103,267,Silver Carp
8.21,64.8,26.3,165,123,196,Grass Carp
6.95,60,30.7,173,96,218,Rohu
8.17,60.2,29.8,152,109,193,Pangasius
7.06,50.6,28,150,120,193,Common Carp
7.79,59.1,26.3,193,111,277,Catfish
7.89,57.3,31.2,196,109,295,Pangasius
7.53,51.6,27,187,104,210,Rohu
7.11,54.2,31.6,166,114,234,Snakehead
6.93,63.4,28.9,190,90,217,Mrigal
6.57,58.2,28,170,106,291,Catfish
7.11,56.2,30.5,194,105,197,Silver Carp
7.81,51.1,31.3,196,126,231,Mrigal
8.38,60.7,28.2,197,110,206,Bighead Carp
8.24,60.5,28.4,162,116,198,Common Carp
8.03,59.2,28.6,151,124,299,Bighead Carp
8.08,57.7,31.5,151,113,250,Bighead Carp
7.83,56.5,30.2,192,91,273,Mrigal
7.02,58.9,27.5,174,114,258,Common Carp
8.31,53.5,27.1,177,108,288,Pangasius
7.84,64.1,27.4,197,102,230,Rohu
7.62,58.8,27.6,198,118,218,Mrigal
6.72,54.7,27.4,175,121,265,Rohu
7.39,56.7,30,184,95,243,Bighead Carp
7.42,62.1,26.7,177,98,221,Bighead Carp
8.23,52.4,28.3,182,90,284,Snakehead
7.59,54.4,29.8,167,113,284,Snakehead
7.26,60.2,27.7,163,99,254,Bighead Carp
8.45,54.7,26.4,190,124,232,Grass Carp
6.72,61.9,26.5,158,95,258,Bighead Carp
7.35,52,26.8,193,109,289,Catfish
6.58,61.4,31,179,127,265,Tilapia
7.98,51,29.9,152,101,269,Mrigal
8.34,50.2,26.4,183,92,205,Pangasius
7.06,63.5,28.3,182,107,210,Snakehead
8.22,58.7,27.7,176,110,222,Bighead Carp
7.08,55.3,29.5,158,124,215,Bighead Carp
8.32,53.5,29.1,162,126,192,Rohu
8.01,59.3,28.9,179,108,212,Catfish
8.11,57.6,27.9,165,114,278,Common Carp
6.54,64.9,26.8,191,107,243,Silver Carp
8.43,64.7,30.5,175,129,273,Snakehead
7.95,59.5,31.3,154,119,236,Pangasius
7.11,56.6,31.7,195,123,225,Silver Carp
8.16,57.4,26.4,176,99,224,Grass Carp
7.06,60.2,30.4,164,111,232,Tilapia
8.25,51.5,30.4,177,93,222,Grass Carp
6.73,54.9,31.7,152,92,194,Snakehead
7.91,51.1,27.5,190,117,193,Rohu
7.58,51.1,30.5,150,111,247,Rohu
6.69,52.9,26.3,150,101,241,Silver Carp
6.98,57.3,29.8,155,102,261,Tilapia
6.52,61.8,28.1,160,122,264,Pangasius
7.44,57.3,30.6,199,108,296,Catfish
7.1,55,31.2,195,106,239,Tilapia
7.7,51.2,28.2,165,123,216,Mrigal
7.09,58.3,29.2,182,93,199,Snakehead
7.1,54.1,26.7,173,128,251,Rohu
7.99,59.2,28.5,181,97,298,Pangasius
6.6,64.7,28.2,159,122,209,Catfish
8.31,51.7,27.1,174,90,221,Silver Carp
8.2,53.2,31.4,159,94,237,Bighead Carp
7.84,57.1,26.9,162,121,280,Common Carp
7.69,64.5,29.8,150,129,238,Grass Carp
8.28,61.6,31.3,184,90,271,Rohu
6.87,63.5,31.5,163,124,215,Bighead Carp
6.66,55,30.8,170,111,224,Grass Carp
6.98,64.9,27.1,197,118,217,Silver Carp
8.09,51.5,30.9,187,106,254,Pangasius
6.57,50.8,27.7,150,119,287,Snakehead
7.67,62.8,31.5,169,124,215,Silver Carp
8.49,63.9,30.3,154,90,247,Bighead Carp
8.21,51.4,30.7,189,93,195,Tilapia
7.54,51.7,26.5,193,98,239,Pangasius
6.63,50.5,29.5,181,121,238,Grass Carp
8.16,51.6,30.9,150,94,247,Grass Carp
7.7,53.1,31.2,194,103,235,Rohu
6.73,64.6,26.2,190,115,278,Silver Carp
6.69,60,31.6,189,112,270,Mrigal
8.32,61.7,26.3,194,111,279,Grass Carp
7.84,61.6,29.7,151,116,210,Common Carp
8.16,58,30.2,180,114,285,Mrigal
8.26,62,26.6,196,125,214,Silver Carp
7.64,58.9,26.3,195,93,285,Snakehead
7.53,54.7,30.7,175,121,294,Tilapia
7.36,58.4,28.3,158,98,252,Mrigal
7.13,58,26.6,179,91,272,Snakehead
7.37,62.4,30.6,195,128,255,Rohu
8.05,64.7,31.1,157,114,224,Grass Carp
7.7,56.2,29.5,154,99,269,Snakehead
8.29,61.5,27,188,126,269,Common Carp
7.39,51.5,26.1,153,114,222,Bighead Carp
7.71,61.7,30.2,189,129,239,Grass Carp
7.76,55.6,29.3,185,118,213,Grass Carp
7.68,50.6,29.9,170,126,284,Pangasius
7.91,55.4,30.9,182,94,295,Bighead Carp
6.97,59.2,28.6,175,103,212,Grass Carp
7.52,51.8,26.7,189,122,270,Snakehead
6.71,63.9,31.6,188,116,286,Mrigal
7.27,51.2,29.3,160,94,226,Rohu
7.48,64,29.7,170,104,289,Catfish
7.8,60.6,31.6,197,92,252,Grass Carp
8.4,54.9,31.6,171,90,245,Grass Carp
7.7,55.9,29.4,198,113,252,Common Carp
7.99,61.1,27.8,186,101,208,Common Carp
7.51,59,32,156,103,210,Bighead Carp
7.77,60.1,30.1,191,109,228,Snakehead
6.64,55.8,28.5,162,103,293,Catfish
7.01,57.3,29.4,169,103,272,Grass Carp
7.22,64.8,28.5,164,124,261,Rohu
7.44,53.2,31.3,187,108,215,Rohu
6.59,56.3,28.9,183,109,294,Common Carp
6.78,54.4,30.9,185,112,240,Snakehead
7.05,61.5,31,195,123,249,Pangasius
8.44,61.5,30.9,174,90,271,Rohu
7.16,54.4,30.3,178,93,267,Mrigal
7.46,51.2,31.1,196,129,271,Mrigal
6.89,50.2,28.3,177,106,290,Common Carp
7.72,56.4,26.7,163,115,281,Bighead Carp
7.06,56.2,31.1,153,103,286,Rohu
6.91,64.8,29,187,121,195,Silver Carp
7.53,57,26.8,156,125,196,Pangasius
6.51,53.8,26.7,162,109,249,Bighead Carp
6.52,63.4,27,166,105,250,Grass Carp
6.94,57.4,30.5,178,108,194,Silver Carp
6.57,59,30.3,166,128,280,Bighead Carp
6.72,51.4,27.2,185,113,197,Grass Carp
7.18,55.7,31.1,168,103,291,Catfish
8.11,64.2,27.7,175,118,222,Bighead Carp
7.64,58.8,30.8,194,103,246,Rohu
7.53,55.2,28.9,158,100,201,Pangasius
7.09,59.4,30.4,151,100,290,Bighead Carp
8.36,63.7,28.3,169,129,226,Rohu
7.29,54.1,28.1,172,113,204,Mrigal
6.67,57.6,31,167,111,206,Bighead Carp
7.73,64.4,26.2,175,110,226,Rohu
6.73,52.6,31.8,174,95,240,Rohu
7.19,60.8,29.9,166,103,295,Grass Carp
7.51,59.2,28.6,188,98,218,Tilapia
8.25,60.2,29.8,198,124,192,Catfish
7.49,55.3,26.7,159,125,264,Tilapia
7.9,54.7,29.1,174,114,215,Rohu
8.49,60.3,31.9,195,104,293,Pangasius
6.76,53.2,27.4,177,117,234,Mrigal
7.05,56.3,30.3,175,103,195,Silver Carp
7.29,52.8,28.6,161,102,288,Mrigal
7.34,50.1,29.9,193,120,277,Pangasius
7.32,64.6,27.2,198,94,292,Tilapia
8.32,56.5,28.8,168,108,287,Rohu
7.93,64.5,31.9,172,97,243,Catfish
7.72,52.1,27.2,163,102,277,Pangasius
7.12,58.8,29.8,166,106,208,Mrigal
8.15,53,29.5,164,121,202,Pangasius
8.41,61.9,29.4,170,94,246,Grass Carp
8.14,61.8,29.7,187,98,296,Grass Carp
6.5,51.7,29,179,123,262,Bighead Carp
7.77,63.7,26.1,168,90,272,Tilapia
6.6,52.9,31.4,181,129,285,Catfish
7.02,59.2,31,178,104,274,Grass Carp
6.62,64.8,27,171,121,285,Rohu
7.71,63.2,28.5,169,123,246,Bighead Carp
7.87,64.3,30.6,187,124,235,Silver Carp
6.73,55.1,31.9,187,117,201,Mrigal
7.27,51.6,31.7,185,106,218,Grass Carp
7.41,52.8,31.4,150,100,286,Grass Carp
7.24,57.5,27,168,112,254,Snakehead
6.74,61.9,31.5,192,115,238,Rohu
7.34,52.3,31.3,175,94,193,Bighead Carp
8,59.9,28.3,156,115,266,Snakehead
6.64,54.9,28.4,183,95,276,Catfish
6.66,55.1,28.8,185,123,217,Rohu
7.21,59.9,29.9,155,102,296,Rohu
8.38,57,27.6,186,114,239,Rohu
7.84,62.2,26.1,171,91,201,Grass Carp
7.86,52.3,26.8,158,103,272,Silver Carp
7.22,61.8,28.6,192,106,286,Pangasius
7.69,51,27.7,178,129,207,Silver Carp
6.52,52.9,30.6,199,129,287,Bighead Carp
7.77,59.8,26.6,166,128,283,Common Carp
8.33,62.8,31.5,162,114,296,Common Carp
7.73,53.8,31.4,166,116,195,Common Carp
8.25,54.9,31.5,159,113,257,Common Carp
7.95,58.1,30.4,174,122,265,Catfish
6.74,53.2,26.6,167,116,212,Mrigal
8.3,62.2,28.6,198,120,217,Snakehead
6.63,61.6,26.8,193,127,264,Tilapia
7.57,52.2,31.9,164,104,281,Pangasius
6.78,57,28,176,129,229,Rohu
6.52,61.6,29.5,168,90,287,Pangasius
7.34,55.1,30.7,164,100,237,Pangasius
7.09,59.5,31.5,194,104,223,Mrigal
7.47,50.8,30.5,156,122,274,Grass Carp
7.65,59.1,30,192,121,289,Rohu
6.59,52.3,28.8,189,114,281,Catfish
6.75,62.5,29.6,165,128,251,Pangasius
7.62,55.3,26.6,173,122,247,Rohu
7.19,54.2,31.3,172,118,223,Grass Carp
7.96,62.6,29.3,160,123,246,Bighead Carp
7.8,50.8,26.2,173,97,294,Common Carp
8.19,55.9,31.5,154,100,218,Tilapia
7.88,55.6,28.9,188,102,279,Grass Carp
7.36,54.3,31.2,197,94,266,Mrigal
7.85,63.7,31.1,179,108,241,Snakehead
7.05,61.3,30.9,165,110,287,Grass Carp
7.11,51,26.4,169,92,272,Tilapia
8.08,60.7,27.5,178,115,197,Snakehead
7.39,57.9,31.3,166,122,282,Catfish
8.1,63.5,31.4,168,119,296,Silver Carp
8.14,54.7,28.7,175,111,293,Pangasius
8.22,58.6,28.6,164,94,205,Tilapia
8.33,57.5,27.1,174,108,281,Silver Carp
7.36,57.3,31.8,164,98,219,Mrigal
7.14,56.8,27.3,169,113,276,Mrigal
7.66,53.1,27.1,179,128,282,Catfish
7.24,61.3,30,170,101,273,Bighead Carp
7.7,56.8,27.5,196,116,270,Catfish
7.91,64.4,31.6,184,110,215,Grass Carp
7.88,53.9,26.1,193,127,246,Snakehead
7.25,60.2,26,155,124,228,Grass Carp
6.83,64.1,29,186,121,222,Grass Carp
7.36,60,28.9,160,125,267,Common Carp
6.79,63.1,27,172,122,220,Mrigal
8.28,62.4,29,193,106,269,Mrigal
7.19,55.4,28.5,188,94,210,Grass Carp
6.81,59,31.3,158,109,288,Grass Carp
6.55,52.3,26.1,167,112,239,Pangasius
7.79,58,31.9,195,128,272,Bighead Carp
7.77,53.5,29.7,185,93,195,Silver Carp
7.18,61.2,26.9,189,115,249,Catfish
6.64,57.9,26.3,197,119,276,Bighead Carp
7.32,56.2,29.2,185,118,279,Bighead Carp
7.12,54,27.4,177,123,262,Tilapia
7.85,65,27.8,168,99,202,Bighead Carp
7.71,51.1,27.5,179,109,247,Common Carp
7.23,50.7,29.9,187,113,233,Tilapia
6.94,53.3,29.3,164,123,268,Catfish
8.48,64.6,26.5,193,126,221,Catfish
7.41,64.7,29.2,161,102,248,Mrigal
7.88,59.8,30.7,151,112,292,Tilapia
6.78,63.2,26.5,158,99,297,Rohu
7.47,53.2,31.3,184,111,270,Tilapia
6.56,64.6,29.5,150,103,234,Silver Carp
7.51,52.1,31.7,195,114,244,Grass Carp
8.43,51.5,26.9,180,107,282,Rohu
7.27,51.7,32,177,109,238,Mrigal
6.58,58.6,29.9,194,117,250,Common Carp
6.56,61.7,29.4,186,97,229,Grass Carp
7.28,55.5,29.1,156,94,271,Tilapia
6.82,64.7,26.1,195,110,223,Common Carp
6.55,56.5,31.6,165,109,278,Rohu
8.01,52.3,29.9,199,105,201,Silver Carp
7.42,57,26.5,163,109,298,Mrigal
7.08,60.2,26.1,182,114,204,Bighead Carp
8.3,62.5,26.3,155,96,296,Snakehead
6.73,56.9,29.7,170,114,277,Snakehead
8.41,58.9,29.7,159,125,198,Common Carp
7.13,54,29,181,99,293,Pangasius
8.28,59.7,27.8,155,129,209,Silver Carp
7.71,64.8,29.2,151,105,278,Silver Carp
8.15,50.7,29.1,188,93,277,Grass Carp
8.47,63.3,26.1,198,99,238,Common Carp
7.08,58.4,27.7,176,120,279,Tilapia
8.42,53.8,26.3,163,101,203,Rohu
7.28,64.3,31.4,172,109,194,Pangasius
7.27,57.3,30.4,188,121,237,Snakehead
7.18,55,32,170,91,246,Tilapia
7.58,52.7,27.8,190,100,282,Common Carp
6.81,53.7,31.3,179,109,249,Catfish
7.61,62.5,29.6,174,112,261,Common Carp
7.58,59.2,28.7,173,102,270,Grass Carp
8.02,63.7,27.3,160,124,232,Bighead Carp
8.17,53.5,30.4,184,106,275,Silver Carp
7.38,51.8,31.4,153,99,271,Tilapia
7.1,50.1,27.4,186,129,280,Grass Carp
7.02,57.6,27.1,185,127,253,Grass Carp
6.89,65,30.2,162,103,191,Grass Carp
6.62,60.4,31.9,158,108,190,Rohu
7.18,54.6,30.5,177,121,253,Rohu
7.04,63.2,27.7,195,122,294,Snakehead
8.43,61.7,28.5,165,114,261,Silver Carp
7.62,50.2,28.3,155,114,274,Silver Carp
7.19,62.3,31.1,176,103,213,Catfish
7.66,54.5,30.6,159,127,191,Snakehead
6.78,52.2,29.5,172,125,297,Snakehead
7.39,53.4,27.6,170,113,248,Bighead Carp
7.75,57,31.6,175,128,291,Rohu
7.48,56.4,29.9,194,128,281,Grass Carp
7.3,54.3,31.8,152,102,223,Catfish
8.49,52.6,29.5,192,91,245,Mrigal
8.26,61.4,30.9,184,123,265,Common Carp
7.75,64.9,30.9,156,104,194,Rohu
7.64,61.7,28,176,91,298,Silver Carp
7.74,54.4,31.8,191,114,244,Tilapia
6.9,53.7,26.1,182,94,225,Pangasius
7.29,53.3,30.6,153,123,261,Snakehead
6.58,52.1,31.8,175,128,283,Pangasius
7.45,58.3,28,157,94,244,Silver Carp
7.59,59.1,29.9,169,97,199,Bighead Carp
6.96,60.6,29.4,166,103,274,Grass Carp
8.43,60.2,30.6,154,118,235,Catfish
8.32,54.4,31.2,198,119,241,Common Carp
7.94,55,29.6,158,126,251,Silver Carp
7.57,60.2,30.9,157,93,287,Common Carp
8.24,55.2,27.9,156,124,287,Common Carp
6.76,53.2,27.4,186,96,193,Common Carp
8.08,55.6,28.6,185,115,245,Rohu
6.75,54.1,30.1,152,121,200,Silver Carp
8.09,51.3,27.1,157,122,275,Tilapia
7.05,62.5,30.1,154,113,294,Pangasius
8.25,62.8,28.4,154,90,239,Grass Carp
8.39,53.3,30.8,166,118,250,Catfish
6.8,51,26.2,196,127,212,Rohu
7.43,61.1,30,176,127,287,Rohu
8.46,53.2,29.9,189,110,219,Tilapia
7.47,55.9,31.6,188,112,278,Common Carp
8.23,51,30.3,198,94,277,Snakehead
7.68,53.4,30.8,161,119,214,Rohu
7.25,61.9,31.4,177,129,219,Common Carp
7.07,62.1,30.1,153,107,228,Snakehead
6.91,53.1,27.7,177,95,297,Snakehead
8.02,55,31.2,174,94,269,Bighead Carp
7.27,52,30.5,199,107,263,Pangasius
7.52,51.1,28.5,185,102,284,Mrigal
7.48,64.9,30.3,191,109,200,Tilapia
7.65,59.8,31.2,152,127,262,Mrigal
8.23,58.1,31.9,180,110,225,Mrigal
8.46,61.5,31.7,186,93,272,Rohu
7.32,62.6,28,161,102,241,Pangasius
8.16,62.1,28.5,186,107,194,Pangasius
8.03,50.2,26.7,186,102,265,Common Carp
7.65,52.8,27.5,153,102,263,Rohu
8.41,59.8,31.3,179,128,203,Snakehead
6.9,55.6,28.2,187,126,209,Tilapia
6.72,64.7,29.7,191,124,209,Bighead Carp
8.21,60,30,187,127,233,Pangasius
7.38,64.3,30.7,176,129,289,Silver Carp
8.19,53,27.1,171,116,214,Catfish
8.29,63,27.8,150,115,230,Grass Carp
6.62,54.8,28.7,197,101,299,Silver Carp
8.27,64.8,28.2,192,91,258,Snakehead
7.4,52.4,31.9,187,109,294,Grass Carp
7.52,57.7,31,169,124,280,Snakehead
7.75,61.9,28.9,167,99,191,Grass Carp
8.35,56.5,31.3,155,97,201,Pangasius
6.54,57,28.1,198,129,217,Grass Carp
7.45,64.8,30.7,161,125,233,Bighead Carp
7.88,56.4,27.3,166,120,202,Catfish
7.95,59.1,30.6,171,104,274,Silver Carp
7.89,50.8,28.7,167,107,232,Rohu
6.77,62.6,26.6,159,104,244,Mrigal
7.1,59.7,27.6,173,108,197,Rohu
7.22,56.1,28.4,169,113,253,Mrigal
8.11,50.2,30.5,161,124,201,Mrigal
7.06,58.9,26.4,153,91,230,Catfish
6.92,50.2,30,191,102,233,Snakehead
8.41,50,30.3,154,98,200,Common Carp
6.52,59.2,29.9,175,124,208,Pangasius
8.5,52.8,30.6,185,91,249,Tilapia
7.85,52.9,27.1,165,105,261,Catfish
8.16,59.8,29.5,154,125,216,Grass Carp
7.09,50.8,31.6,175,91,260,Catfish
6.53,54.7,29.7,168,105,274,Silver Carp
7.98,52.2,29.7,155,97,216,Rohu
8.17,58.7,30.4,173,90,203,Pangasius
7.98,59.9,28,180,107,285,Bighead Carp
6.79,60.8,30.2,180,115,282,Snakehead
8.01,53.8,31.5,156,94,213,Common Carp
8.04,51.3,26.1,159,110,253,Silver Carp
7.82,51.2,31.2,188,124,281,Tilapia
8.03,56.4,27.3,171,129,213,Tilapia
8.19,64.2,28.7,163,117,191,Tilapia
7.73,53.3,31.1,177,115,241,Rohu
6.68,53.9,30.9,191,121,284,Common Carp
7.48,51.5,31.4,171,110,201,Bighead Carp
6.66,59.1,31.6,181,93,254,Pangasius
7.32,60.2,28.7,160,125,249,Common Carp
7.31,59.6,29.9,163,113,247,Rohu
6.63,62.9,28.3,180,122,274,Mrigal
7.2,57.3,28.1,193,94,282,Snakehead
6.72,52,28.6,153,92,283,Pangasius
8.12,54.3,30.5,194,100,231,Rohu
8.4,59.9,29,171,121,190,Catfish
6.64,59.2,30.9,178,111,211,Bighead Carp
8.41,58,30.5,184,100,295,Common Carp
7.55,60.2,26.1,162,127,261,Snakehead
7.1,59.6,29.8,169,111,202,Snakehead
6.65,63.2,28.6,168,93,267,Bighead Carp
7.5,58.8,28.7,164,128,295,Grass Carp
8.09,61.7,30.9,175,92,254,Grass Carp
7.91,53.7,29.3,169,99,285,Pangasius
6.6,60.2,31.3,185,126,227,Catfish
6.65,63.5,30.3,155,108,253,Snakehead
7.31,55.8,29.3,164,107,265,Tilapia
7.09,61.7,30.5,153,117,241,Snakehead
6.96,60.9,26.2,155,120,298,Rohu
7.06,50.9,26.2,151,106,269,Silver Carp
8.11,58.7,26.5,185,113,277,Catfish
8.36,52,28.6,199,90,297,Bighead Carp
7.31,64.5,27.4,164,94,273,Tilapia
8.31,62.2,31.9,161,121,296,Rohu
7.14,51.6,29.3,189,106,297,Silver Carp
7.45,51.8,30,193,110,221,Tilapia
6.95,58.9,27.7,190,111,216,Grass Carp
7.78,55.2,27.9,156,128,287,Snakehead
8.46,50.5,28,171,128,250,Tilapia
7.71,58.1,30.2,157,123,275,Common Carp
7.22,55.8,28.8,191,103,251,Tilapia
7.8,51.5,29.1,160,105,192,Rohu
6.75,62,29.6,151,94,270,Grass Carp
8.28,63.7,30.6,179,107,267,Grass Carp
7.51,61.3,26.5,153,93,280,Common Carp
7.4,62.3,30.7,174,117,292,Silver Carp
7.67,53.2,29.4,170,116,273,Mrigal
7.75,54,30,174,95,299,Rohu
6.64,53.1,28,158,100,284,Mrigal
7.87,61.5,28.5,157,110,294,Bighead Carp
6.98,64.2,27.4,154,106,220,Bighead Carp
7.93,60.8,31.9,195,120,282,Bighead Carp
8.15,63.2,29,177,123,253,Tilapia
8.11,59.6,32,151,102,231,Bighead Carp
7.61,55.8,28.9,170,112,247,Mrigal
7.54,56.4,27.3,198,90,232,Catfish
6.79,51.1,29,157,93,221,Rohu
8.05,50.5,26.2,183,119,219,Common Carp
7.04,60.4,31.4,172,120,296,Rohu
7.49,56.6,30.9,164,105,280,Catfish
7.07,58.3,30.4,176,92,272,Grass Carp
6.77,58.4,29.7,151,101,250,Bighead Carp
7.76,54.2,29.5,177,101,217,Catfish
6.61,57.1,32,160,100,234,Tilapia
8,57.1,27.7,195,105,199,Snakehead
7.14,55.8,30.7,170,118,205,Common Carp
6.5,62.3,29.5,191,110,220,Tilapia
7.52,56.8,31.9,181,94,199,Pangasius
6.59,59.1,31,181,102,263,Silver Carp
7.05,63.4,32,156,106,281,Mrigal
7.91,63,29.5,171,101,201,Rohu
6.63,63.4,27.2,163,106,286,Rohu
8.18,54.1,29,162,90,217,Tilapia
6.51,50.5,30.3,170,97,207,Grass Carp
6.99,53.9,30.6,171,105,241,Snakehead
7.98,54.2,26,183,104,217,Snakehead
7.13,63.6,29,159,108,217,Pangasius
6.7,59.7,27.4,150,114,296,Silver Carp
7.22,51.2,31.2,150,120,292,Common Carp
7.04,52,26.9,173,91,253,Snakehead
8.19,52.3,30,152,114,203,Tilapia
7.13,59.5,27.6,180,120,197,Rohu
8.08,61,28.1,192,93,283,Grass Carp
8.28,62.9,31.6,190,93,289,Pangasius
7.37,64.1,27.4,162,101,192,Grass Carp
8.32,53,26.6,153,106,263,Common Carp
7.25,54.6,26.4,172,110,198,Snakehead
8.43,53.6,29,155,118,236,Snakehead
6.68,55.4,29.9,183,111,252,Rohu
7.87,63.7,28,190,125,229,Mrigal
7.49,58.6,30.1,167,129,266,Common Carp
7.28,61.1,26.4,185,105,275,Rohu
7.77,57.4,31.1,175,104,213,Bighead Carp
7.91,50.4,30.9,182,119,260,Snakehead
6.51,51,31.9,182,100,202,Silver Carp
6.83,58.1,31.6,174,102,195,Catfish
7.93,60.8,28.1,166,112,263,Bighead Carp
7.83,53.2,28.4,152,129,240,Mrigal
8.43,60.8,30.5,171,123,249,Mrigal
8.02,62.2,26.8,198,109,264,Tilapia
8.4,56.2,27.9,184,91,218,Grass Carp
7.91,61.2,26.7,153,97,205,Common Carp
7.1,56.1,28.7,177,107,273,Pangasius
6.71,60.2,29.3,162,96,253,Bighead Carp
8.06,61.5,27.3,179,120,274,Mrigal
7.79,64.9,26.2,196,111,244,Bighead Carp
6.6,55.2,30.3,161,117,218,Grass Carp
7.22,56.2,26.1,152,114,267,Mrigal
8.41,52.5,31.8,170,90,244,Pangasius
7.5,53.1,27.3,189,121,249,Bighead Carp
7.37,60.4,30,150,114,230,Snakehead
7.42,63.8,28.6,167,105,269,Tilapia
6.92,55.9,26.4,162,118,198,Pangasius
7.24,52.7,28.8,156,113,195,Snakehead
7.24,54.3,29.1,162,106,291,Snakehead
6.6,56.8,31.1,166,95,218,Catfish
8.04,54.4,30.4,194,103,207,Rohu
7.33,53.5,26.5,181,115,213,Bighead Carp
8.14,61,27.3,178,117,240,Silver Carp
8.2,50.1,27.9,194,125,206,Silver Carp
6.92,58.1,26.7,179,120,289,Tilapia
7.81,61.9,28.7,160,116,210,Snakehead
7.44,54,31.9,163,91,272,Catfish
8.26,59,29.1,159,108,251,Bighead Carp
6.93,60,30.5,157,117,276,Common Carp
7.86,59.8,30.1,180,110,280,Grass Carp
7.72,56.7,31.1,155,104,264,Common Carp
7.09,55.2,27.3,168,123,279,Snakehead
6.77,62.5,30.5,168,129,243,Catfish
7.8,61.4,31.3,161,92,200,Silver Carp
7.98,54.8,27,188,90,232,Bighead Carp
7.13,51.5,28.1,199,113,275,Catfish
7.79,51.1,31.8,167,116,272,Rohu
7.29,51.4,30.7,152,98,197,Silver Carp
7.93,58.7,27.7,158,113,212,Silver Carp
6.9,50.8,29.4,155,106,242,Mrigal
8.28,55.1,28.4,150,117,276,Common Carp
7.07,61.3,28.9,191,128,229,Rohu
7.24,54.4,28.1,189,93,198,Silver Carp
6.62,61.4,27.7,178,118,213,Mrigal
6.72,61.2,30,198,117,265,Silver Carp
7.53,53.7,30.7,184,126,265,Catfish
7.04,60.9,31.2,184,118,285,Snakehead
8.17,61.2,26.9,179,118,191,Catfish
6.53,56,30.9,184,94,259,Tilapia
7.26,53.2,27.5,188,100,193,Pangasius
7.17,57.8,28.6,171,91,250,Tilapia
6.54,63.8,31.4,192,93,266,Mrigal
6.75,59.6,28.7,177,99,253,Tilapia
7.33,52.6,27.2,167,128,225,Mrigal
7.49,60.2,27,181,97,230,Pangasius
7.31,56.4,28.8,154,112,292,Bighead Carp
7.56,58.9,30.6,183,116,227,Rohu
7.69,61,32,180,112,271,Common Carp
6.52,57.7,30.7,195,123,204,Catfish
7.43,62.2,31.3,182,124,237,Silver Carp
8.43,60.8,30.5,153,106,286,Tilapia
7.54,59.2,31.4,163,99,295,Silver Carp
7.86,52.3,26.5,164,91,219,Mrigal
7.12,62.5,31.6,169,106,289,Snakehead
8.05,64,28.4,169,120,252,Rohu
8.05,52.1,31.5,198,105,214,Pangasius
7.54,57.3,26.5,184,113,193,Grass Carp
8.45,53.9,30.3,153,96,207,Mrigal
6.75,61.3,30.4,167,108,234,Catfish
6.53,60.8,32,173,105,286,Silver Carp
8.04,52.1,30.6,176,122,273,Pangasius
8.11,63.2,28.3,182,125,295,Mrigal
6.74,52.7,29.3,174,99,274,Catfish
7.03,62,28.2,154,104,254,Bighead Carp
6.54,56.9,27.2,167,92,287,Common Carp
7.09,54.9,27.5,194,91,262,Snakehead
8.05,52.4,27.3,195,124,254,Grass Carp
7.54,52.5,29.3,169,116,216,Snakehead
7.2,59.9,31.4,184,94,268,Catfish
7.24,58.3,31.5,155,104,277,Mrigal
6.5,51.8,26.3,176,125,249,Catfish
7.1,51.7,26.5,177,122,248,Catfish
7.79,51.1,27.5,160,90,214,Bighead Carp
8.45,61.2,27.5,158,101,223,Grass Carp
8.19,60.7,26.6,177,98,297,Common Carp
6.55,50.9,28.3,168,109,239,Snakehead
8.3,58.4,29.5,188,119,244,Grass Carp
8.07,51.3,29.5,170,103,199,Silver Carp
8.06,63.6,29.3,180,112,283,Tilapia
7.42,63.6,28,191,118,298,Snakehead
7.3,60.5,30.2,156,124,294,Tilapia
